iter	Passed	Remaining
0	0	579
1	1	533
2	1	512
3	1	497
4	2	492
5	2	484
6	3	480
7	3	476
8	4	473
9	4	471
10	5	470
11	5	469
12	6	468
13	6	467
14	7	467
15	7	467
16	8	467
17	8	479
18	9	482
19	9	485
20	10	484
21	10	484
22	11	484
23	11	483
24	12	483
25	12	482
26	13	488
27	14	487
28	14	487
29	15	485
30	15	484
31	15	483
32	16	483
33	16	482
34	17	481
35	17	480
36	18	479
37	18	478
38	19	478
39	19	477
40	20	476
41	20	475
42	21	474
43	21	474
44	22	473
45	22	473
46	23	472
47	23	471
48	24	471
49	24	470
50	25	470
51	25	469
52	26	468
53	26	468
54	27	467
55	27	466
56	28	465
57	28	465
58	29	464
59	29	464
60	30	463
61	30	462
62	31	462
63	31	462
64	32	461
65	32	461
66	33	460
67	33	456
68	33	456
69	34	455
70	34	454
71	35	454
72	35	453
73	36	453
74	36	452
75	37	451
76	37	451
77	38	450
78	38	450
79	39	449
80	39	448
81	40	448
82	40	447
83	41	447
84	41	445
85	41	444
86	42	442
87	42	442
88	43	441
89	43	441
90	44	440
91	44	440
92	45	440
93	45	439
94	46	439
95	46	438
96	47	437
97	47	437
98	48	436
99	48	436
100	48	435
101	49	433
102	49	433
103	50	432
104	50	432
105	51	431
106	51	431
107	52	430
108	52	430
109	53	429
110	53	428
111	54	428
112	54	427
113	54	427
114	55	426
115	55	425
116	56	425
117	56	424
118	57	423
119	57	423
120	58	422
121	58	421
122	58	419
123	59	419
124	59	419
125	60	418
126	60	418
127	61	417
128	61	416
129	62	416
130	62	415
131	63	415
132	63	415
133	64	414
134	64	414
135	65	413
136	65	413
137	66	412
138	66	411
139	66	411
140	67	410
141	67	410
142	68	409
143	68	408
144	69	408
145	69	407
146	70	407
147	70	406
148	71	407
149	71	407
150	72	406
151	72	406
152	73	405
153	73	405
154	74	404
155	74	404
156	75	403
157	75	403
158	76	402
159	76	402
160	77	401
161	77	401
162	78	400
163	78	400
164	78	399
165	79	399
166	79	398
167	80	398
168	80	397
169	81	396
170	81	396
171	82	395
172	82	395
173	83	394
174	83	394
175	84	393
176	84	393
177	85	392
178	85	392
179	86	391
180	86	390
181	86	389
182	87	389
183	87	388
184	88	387
185	88	387
186	88	386
187	89	386
188	89	385
189	90	385
190	90	384
191	91	384
192	91	383
193	92	383
194	92	382
195	93	381
196	93	381
197	94	380
198	94	380
199	94	379
200	95	379
201	95	378
202	96	378
203	96	378
204	97	377
205	97	377
206	98	376
207	98	375
208	99	375
209	99	374
210	100	374
211	100	373
212	101	373
213	101	372
214	101	372
215	102	371
216	102	371
217	103	370
218	103	370
219	104	370
220	104	369
221	105	369
222	105	368
223	106	368
224	106	368
225	107	367
226	108	368
227	108	367
228	108	366
229	109	366
230	109	365
231	110	365
232	110	364
233	111	364
234	111	363
235	112	363
236	112	362
237	113	362
238	113	361
239	114	361
240	114	360
241	114	359
242	115	359
243	115	358
244	116	358
245	116	357
246	117	357
247	117	356
248	118	356
249	118	355
250	118	355
251	119	354
252	119	353
253	120	353
254	120	352
255	121	352
256	121	351
257	122	351
258	122	350
259	123	350
260	123	349
261	123	349
262	124	348
263	124	348
264	125	347
265	125	347
266	126	346
267	126	345
268	127	345
269	127	344
270	128	344
271	128	343
272	128	343
273	129	342
274	129	342
275	130	341
276	130	341
277	131	340
278	131	340
279	132	339
280	132	339
281	132	338
282	133	338
283	133	337
284	134	336
285	134	336
286	135	335
287	135	335
288	136	334
289	136	334
290	137	333
291	137	333
292	137	332
293	138	332
294	138	332
295	139	331
296	139	331
297	140	330
298	140	330
299	141	329
300	141	329
301	142	329
302	142	328
303	143	328
304	143	327
305	144	327
306	144	326
307	145	325
308	145	325
309	146	324
310	146	324
311	146	324
312	147	323
313	147	322
314	148	322
315	148	321
316	149	321
317	149	320
318	150	320
319	150	320
320	151	319
321	151	319
322	151	318
323	152	317
324	152	317
325	153	316
326	153	316
327	154	315
328	154	315
329	155	314
330	155	314
331	155	313
332	156	313
333	156	312
334	157	312
335	157	312
336	158	311
337	158	311
338	159	310
339	159	310
340	160	310
341	160	309
342	161	309
343	161	308
344	162	308
345	162	307
346	163	307
347	163	306
348	164	306
349	164	305
350	165	305
351	165	304
352	165	304
353	166	303
354	166	303
355	167	302
356	167	302
357	168	301
358	168	301
359	169	300
360	169	300
361	170	299
362	170	299
363	171	298
364	171	298
365	171	297
366	172	297
367	172	296
368	173	296
369	173	295
370	174	295
371	174	295
372	175	294
373	175	294
374	176	293
375	176	293
376	177	292
