iter	Passed	Remaining
0	135	135561
1	136	68134
2	137	45630
3	137	34324
4	138	27534
5	138	23004
6	139	19769
7	139	17346
8	140	15457
9	140	13944
10	141	12706
11	141	11674
12	142	10806
13	142	10061
14	143	9422
15	144	8860
16	144	8356
17	144	7909
18	145	7508
19	145	7148
20	146	6822
21	146	6526
22	147	6256
23	147	6009
24	148	5783
25	149	5586
26	149	5391
27	150	5209
28	150	5042
29	151	4884
30	151	4736
31	151	4597
32	152	4467
33	152	4344
34	153	4228
35	154	4124
36	154	4031
37	155	3935
38	155	3842
39	156	3753
40	156	3668
41	157	3588
42	157	3512
43	158	3442
44	158	3373
45	159	3308
46	160	3250
47	161	3195
48	161	3138
49	163	3097
50	165	3086
51	166	3033
52	166	2983
53	167	2934
54	168	2887
55	168	2841
56	169	2797
57	169	2754
58	170	2714
59	170	2674
60	171	2635
61	171	2598
62	172	2561
63	172	2526
64	173	2491
65	173	2457
66	174	2424
67	174	2392
68	175	2362
69	175	2332
70	175	2302
71	176	2274
72	176	2246
73	177	2219
74	177	2193
75	178	2167
76	178	2142
77	179	2118
78	179	2094
79	180	2071
80	180	2049
81	181	2027
82	181	2003
83	181	1982
84	182	1962
85	182	1942
86	183	1923
87	183	1904
88	184	1885
89	184	1868
90	185	1850
91	185	1832
92	186	1815
93	186	1798
94	187	1782
95	187	1766
96	188	1750
97	188	1734
98	188	1719
99	189	1704
100	189	1690
101	190	1675
102	190	1661
103	191	1647
104	191	1634
105	192	1620
106	192	1607
107	193	1595
108	193	1582
109	194	1570
110	194	1557
111	195	1546
112	195	1534
113	196	1523
114	196	1512
115	197	1501
116	197	1489
117	197	1479
118	198	1468
119	198	1458
120	199	1448
121	199	1437
122	200	1427
123	200	1418
124	201	1408
125	201	1399
126	202	1389
127	202	1380
128	203	1371
129	203	1362
130	204	1353
131	204	1344
132	205	1336
133	205	1328
134	205	1319
135	206	1311
136	206	1303
137	207	1295
138	207	1288
139	208	1280
140	208	1272
141	209	1264
142	209	1256
143	210	1249
144	210	1241
145	211	1234
146	211	1227
147	211	1220
148	212	1213
149	212	1206
150	213	1199
151	213	1193
152	214	1186
153	214	1180
154	215	1174
155	215	1168
156	216	1161
157	216	1155
158	217	1149
159	217	1143
160	218	1137
161	218	1131
162	219	1125
163	219	1120
164	220	1114
165	220	1109
166	221	1103
167	221	1098
168	222	1092
169	222	1087
170	223	1082
171	223	1077
172	224	1072
173	224	1067
174	225	1062
175	225	1057
176	226	1052
177	226	1047
178	227	1042
179	227	1037
180	228	1032
181	228	1027
182	229	1022
183	229	1018
184	230	1013
185	230	1008
186	230	1004
187	231	999
188	231	995
189	232	990
190	232	986
191	233	982
192	233	977
193	234	973
194	234	969
195	235	964
196	235	960
197	236	956
198	236	952
199	237	948
200	237	944
201	238	940
202	238	936
203	238	932
204	239	928
205	239	924
206	240	921
207	240	917
208	241	913
209	241	910
210	242	906
211	242	902
212	243	899
213	243	895
214	244	892
215	244	888
216	245	885
217	245	881
218	246	878
219	246	874
220	247	871
221	247	867
222	248	864
223	248	861
224	249	857
225	249	854
226	249	851
227	250	847
228	250	844
229	251	841
230	251	838
231	252	835
232	252	832
233	253	828
234	253	825
235	254	822
236	254	819
237	255	816
238	255	813
239	255	810
240	256	807
241	256	804
242	257	801
243	257	799
244	258	796
245	258	793
246	259	790
247	259	787
248	260	785
249	260	782
250	261	779
251	261	777
252	262	774
253	262	771
254	263	769
255	263	766
256	264	763
257	264	761
258	265	758
